id,daily_term,legal_term,relation_type,domain,priority,raw_data,created_at,updated_at
883,전유부분,구분소유,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.534133,2026-06-18 10:47:30.534133
884,전유부분,구분소유권,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""4"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.534133,2026-06-18 10:47:30.534133
885,전유부분,대지사용권,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""5"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.534133,2026-06-18 10:47:30.534133
886,공용부분,공동시설물,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.542777,2026-06-18 10:47:30.542777
887,공용부분,공용공간,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""2"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.542777,2026-06-18 10:47:30.542777
888,공용부분,일부공용부분,NARROWER,apartment_sale,70,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140304"", ""relation_name"": ""하위어""}",2026-06-18 10:47:30.542777,2026-06-18 10:47:30.542777
890,대지권,대지권등기,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""1"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.550739,2026-06-18 10:47:30.550739
892,대지권,대지사용권,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""3"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.550739,2026-06-18 10:47:30.550739
893,대지권,대지소유권,RELATED,apartment_sale,50,"{""note"": """", ""source"": ""law_api"", ""source_id"": ""4"", ""relation_code"": ""140305"", ""relation_name"": ""연관어""}",2026-06-18 10:47:30.550739,2026-06-18 10:47:30.550739
894,명의 이전,소유권 이전등기,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
895,명의 이전,소유권 이전,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
896,명의 이전,등기명의인,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
897,명의이전,소유권 이전등기,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
898,명의이전,소유권 이전,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
899,명의이전,등기명의인,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
900,소유권 이전,소유권 이전등기,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
